Symbol,Description,Industry,Sector,Exchange,Index,Market capitalization,Market capitalization - Currency,Price,Price - Currency,Pre-market Open,Pre-market Open - Currency,Pre-market Change,Pre-market Change - Currency,Pre-market Change %,Pre-market Gap %,Float shares outstanding,Volume 1 day,Volume 1 week,Pre-market Volume,Average Volume 10 days,Average Volume 30 days,Average Volume 90 days,Volatility 1 day,Volatility 1 week,Volatility 1 month,Volume Weighted Average Price 1 day,Price to earnings ratio,Relative Volume at Time,Relative Volume 1 day,Beta 1 year,Beta 3 years,Beta 5 years,Relative Volume 1 minute,Relative Volume 5 minutes,Relative Volume 15 minutes,Relative Volume 30 minutes,Relative Volume 1 hour,Relative Volume 2 hours,Relative Volume 4 hours,Relative Volume 1 week,Relative Volume 1 month,High 1 month,High 1 month - Currency,High 3 months,High 3 months - Currency,High 6 months,High 6 months - Currency,High 52 weeks,High 52 weeks - Currency,High All Time,High All Time - Currency,High 5 minutes,High 5 minutes - Currency,High 15 minutes,High 15 minutes - Currency,High 30 minutes,High 30 minutes - Currency,High 1 hour,High 1 hour - Currency,High 2 hours,High 2 hours - Currency,High 4 hours,High 4 hours - Currency,High 1 day,High 1 day - Currency,High 1 week,High 1 week - Currency,High 1 month,High 1 month - Currency,"Revenue per employee, Annual","Revenue per employee, Annual - Currency",Simple Moving Average (5) 1 minute,Simple Moving Average (8) 1 minute,Simple Moving Average (5) 5 minutes,Simple Moving Average (13) 5 minutes,"Bollinger Bands (20) 1 minute, Upper","Bollinger Bands (20) 1 minute, Basis","Bollinger Bands (20) 1 minute, Lower","Bollinger Bands (20) 5 minutes, Upper","Bollinger Bands (20) 5 minutes, Basis","Bollinger Bands (20) 5 minutes, Lower",International Securities Identification Number,Relative Volume 1 day,Recent earnings date,Upcoming earnings date,Analyst Rating,Target price 1 year,Target price 1 year - Currency,Technical Rating 5 minutes,Exponential Moving Average (3) 1 day,Exponential Moving Average (7) 1 day
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Semiconductors,Electronic technology,NYSE,PHLX Semiconductor Sector,747181203978.125,USD,173.76,USD,175.9,USD,1.0200000000000102,USD,0.5870165745856413,1.2315837937384986,5184370734.1714,10678385,30342627,173231,14461433.4,15968396.033333333,15341056,2.3232793758006176,1.9029685648922454,3.3822129506126974,173.74333333333334,24.697956050828665,0.6710870068218536,0.705915838073452,1.8888829,1.3682761,1.1416407,7.938911772228936,4.488109981520438,3.0409901340631205,2.4489832678420007,1.1990619652950496,0.6212545257813475,0.8176080346461807,0.3513177626633505,0.7227954389399044,205.85,USD,226.4,USD,226.4,USD,226.4,USD,226.4,USD,174.3,USD,174.73,USD,174.73,USD,174.73,USD,174.73,USD,175.73,USD,175.73,USD,177.16,USD,184.74,USD,,,173.89199999999997,174.05375000000024,174.248,174.4196153846149,174.65216234542302,174.22708499999982,173.8020076545766,175.41387613178037,174.05134500000057,172.68881386822076,,0.705915838073452,2025-01-16,2025-04-17,Strong buy,248.764167,USD,Neutral,173.90101810120063,174.53164301118352
UNH,UnitedHealth Group Incorporated,Managed health care,Health services,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 500 Health Care, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG",460283261311.99994,USD,503.2,USD,503.73,USD,1.650000000000034,USD,0.32790143084261414,0.10532591414944945,912757260.4560001,3317606,12087551,740,4216955.1,5136136.333333333,5059998.288888888,1.2578490581130306,1.8910694209343961,2.9972333715141017,503.2033333333334,32.3815775079313,0.7568933095803642,0.7808144061221236,0.020656193,0.358731,0.63424236,7.014421906144869,5.440522245689144,5.444995246998072,4.115022002215414,1.639030868364259,0.7140238027905729,0.8084110356370502,0.5189399822672892,0.667706883501718,516,USD,553.91,USD,630.73,USD,630.73,USD,630.73,USD,503.71,USD,505.3,USD,505.67,USD,505.67,USD,505.67,USD,505.67,USD,506.35,USD,506.35,USD,506.35,USD,1000694.9999999999,USD,503.0719999999994,503.0706250000007,504.19700000000057,504.32346153846316,505.55696441243526,503.88150000000104,502.2060355875668,505.8734968580933,503.66467999999884,501.4558631419044,,0.7808144061221236,2025-01-16,2025-04-22,Strong buy,633.2,USD,Neutral,500.6089986270656,494.5145388175919
PG,Procter & Gamble Company (The),Household/Personal care,Consumer non-durables,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 500 Consumer Staples, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, NYSE Arca Major Market",395271686220,USD,168.57,USD,169.21,USD,0.7300000000000182,USD,0.4330545174111753,0.37966423444267355,2343372744.5,7569165,23601085,4297,8550853.1,7845884.1,7410214.733333333,0.9783974627490819,1.2651651714155794,2.0343229420694584,168.14166666666668,26.856897046171493,0.8890613616977205,0.8912401935690528,0.10769089,0.3468531,0.40086162,7.30031665438266,6.5676615172471156,4.116984669338602,2.856534305101784,1.5415167179662448,0.8416627173365718,1.038877746229718,0.64876238828705,0.8033696661311192,179.99,USD,179.99,USD,180.43,USD,180.43,USD,180.43,USD,168.68,USD,168.745,USD,168.745,USD,168.745,USD,168.745,USD,168.745,USD,168.745,USD,171.09,USD,179.99,USD,778138.888888889,USD,168.5860000000001,168.5500000000001,168.54308000000083,168.33926153846167,168.72291565687433,168.53481499999992,168.3467143431255,169.03619417154025,168.01326999999998,166.9903458284597,,0.8912401935690528,2025-01-22,2025-04-24,Buy,182.12,USD,Buy,168.55513425159978,169.51507264366793
ABBV,AbbVie Inc.,Pharmaceuticals: major,Health technology,NYSE,"S&P 500, S&P 500 Health Care, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",374696568695.00006,USD,212.25,USD,211.98,USD,0.4000000000000057,USD,0.1884570082449968,-0.12720848056537584,1763395757.5500002,5413299,15577416,1102,5868889.1,5789730.533333333,6428116.5,1.7648733276401931,1.8076863482184082,2.3950232928014246,212.51,88.74811841445057,0.8825164116044915,0.917060919246802,0.013088886,0.27547377,0.59798324,4.672674715184492,5.643783758829232,4.52552456196643,3.839564820930525,1.7587452053485741,0.9475538256682045,1.0874518328906408,0.5348819142444466,0.6764894474742903,218.66,USD,218.66,USD,218.66,USD,218.66,USD,218.66,USD,212.57,USD,212.68,USD,212.68,USD,212.68,USD,212.68,USD,212.68,USD,214.5,USD,215.5,USD,218.66,USD,1024254.54545455,USD,212.13800000000032,212.1981374999997,212.25000000000082,212.00273076923156,212.53024359311402,212.2155049999998,211.9007664068856,212.63049650479917,211.7578999999999,210.88530349520062,,0.917060919246802,2025-01-31,2025-04-25,Buy,217.217391,USD,Buy,212.90063723009857,212.70851560978625
NVO,Novo Nordisk A/S,Pharmaceuticals: major,Health technology,NYSE,,354142821668.3066,USD,79,USD,79.2,USD,0.04000000000000625,USD,0.05063291139241298,0.25316455696202894,3364004547.309,6920565,18612704,84960,7497086.6,8171253.966666667,8046060.477777778,3.1855249745158,2.2799267030132055,2.5749587507143294,79.23666666666666,24.066288917321636,0.8307119550987093,0.9098579145411048,0.8062147,0.41917798,0.42479113,3.4638878449906683,2.8556357372937757,2.6951121375119538,3.464639731981636,1.8816624112240021,0.9845188086624899,0.982569748576107,0.43973509301674424,0.7943925851950829,93.8,USD,93.8,USD,127.61,USD,148.15,USD,148.15,USD,79.02,USD,79.08,USD,79.1,USD,79.1,USD,79.1,USD,79.1,USD,80.23,USD,82.57,USD,91.9,USD,551951.473917791,USD,78.94099999999999,78.95250000000023,79.01731999999961,78.91641538461522,79.10317566049703,78.9933449999999,78.88351433950278,79.16136584380561,78.81517999999991,78.46899415619421,,0.9098579145411048,2025-02-05,2025-05-07,Buy,118.353828,USD,Sell,79.38826919156418,79.74319253369482
HD,"Home Depot, Inc. (The)",Home improvement chains,Retail trade,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 500 Consumer Discretionary, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG",351074226916.00006,USD,353.42,USD,355,USD,0.12999999999999545,USD,0.03678343047931511,0.4470601550563024,992755061.844,2990191,9679888,1943,4214113.2,3742020.7,3469268.811111111,1.5591787612648143,2.03204184696207,2.5241191647245733,352.2771,23.686873764284037,0.6402891353282231,0.7131174075435562,1.1084313,1.019445,1.0900751,6.4784980967809265,6.250471001578492,4.06433234421365,3.2076923797630665,1.450635442921512,0.7182791702757056,0.605718699388786,0.581400547057396,0.7545182385726309,408.87,USD,426.1859,USD,439.37,USD,439.37,USD,439.37,USD,353.795,USD,354.09,USD,354.15,USD,354.15,USD,354.15,USD,354.4263,USD,354.4263,USD,355.55,USD,397.07,USD,,,353.3879999999998,353.3299999999988,353.6809999999987,353.6222461538475,354.1300613933273,353.5217499999997,352.9134386066721,355.3392464646311,352.82017999999914,350.30111353536716,,0.7131174075435562,2025-02-25,2025-05-20,Buy,431.393939,USD,Buy,352.7019697722918,357.2420078511217
KO,Coca-Cola Company (The),Beverages: non-alcoholic,Consumer non-durables,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 500 Consumer Staples, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, NYSE Arca Major Market",298151109200,USD,69.28,USD,69.39,USD,0.030000000000001137,USD,0.043302540415706026,0.1587759815242486,4270208725.36,14780007,43072430,20948,19536231.1,19493113.366666667,18080769.655555554,1.2255617157863863,1.265064993596854,1.9170452650838214,69.06666666666668,28.155734373729985,0.6728762125504667,0.7226824229875527,0.19489701,0.34270152,0.57445556,6.794005902144161,7.225728899948068,5.0745489307284215,3.2750465284986894,1.260101381757939,0.6604860527334574,0.644956938397606,0.495350885321154,0.8808785141197282,73.22,USD,73.22,USD,73.22,USD,73.53,USD,73.53,USD,69.34,USD,69.34,USD,69.38,USD,69.38,USD,69.38,USD,69.38,USD,69.38,USD,70.19,USD,73.22,USD,670961.262553802,USD,69.30399999999997,69.27687499999993,69.28200000000032,69.20936153846141,69.35602241310255,69.27375000000009,69.19147758689763,69.44683876125285,69.1013350000001,68.75583123874736,,0.7226824229875527,2025-02-11,2025-04-28,Buy,75.483333,USD,Buy,69.45221572308884,69.77396483036745
AZN,AstraZeneca PLC,Pharmaceuticals: major,Health technology,NASDAQ,"NASDAQ 100, NASDAQ Composite, NASDAQ Biotechnology",237595424453.04382,USD,76.32,USD,76.43,USD,0.36000000000001364,USD,0.4716981132075651,0.1441299790356573,3100562541.36,4050660,11515789,98018,5615230.7,6250830.1,6061248.755555555,1.1882098076544172,1.0145477744626652,1.3273642843744835,76.50499999999998,33.86581469648562,0.7012110862953466,0.710490446714646,0.09694146,0.3739212,0.41848367,3.2309262735025848,5.445640489924452,5.104823610191074,3.1943713173277173,1.5066836824758887,0.7800266276254817,0.5984534549877628,0.41773578903988046,0.7072393320150909,78.355,USD,78.355,USD,79.76,USD,87.675,USD,87.675,USD,76.35,USD,76.505,USD,76.505,USD,76.505,USD,76.505,USD,76.54,USD,77.03,USD,77.76,USD,78.355,USD,573414.634146341,USD,76.30400000000027,76.32187499999978,76.40400000000007,76.42774615384634,76.52379088173453,76.39000000000001,76.2562091182655,76.55335462947971,76.42203500000004,76.29071537052036,,0.710490446714646,2025-02-06,2025-04-29,Strong buy,87.314029,USD,Strong sell,76.69979794064875,76.6673532943981
MRK,"Merck & Company, Inc.",Pharmaceuticals: major,Health technology,NYSE,"S&P 500, Dow Jones Industrial Average, S&P 500 Health Care, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, NYSE Arca Major Market",237497908727.00003,USD,94.02,USD,94.01,USD,0.1600000000000108,USD,0.17017655817912233,-0.010636034886184753,2523743829.64,11355880,32264093,5103,15144481.1,16861552.533333357,13877201.811111141,1.9115762494660469,1.9717628269354834,2.6432150591737074,94.36333333333333,13.962191300732115,0.7818170706602485,0.7412161111642712,0.34555534,0.26557288,0.3657501,4.53964474277679,5.723103019197316,5.092991342406318,4.1616862377380714,2.079229054039228,1.095070289358695,1.0120030878868347,0.43289633819082574,0.8548025131093592,97.37,USD,102.97,USD,118.16,USD,134.63,USD,134.63,USD,94.12,USD,94.225,USD,94.41,USD,94.41,USD,94.41,USD,94.41,USD,95.43,USD,95.43,USD,97.37,USD,852973.333333333,USD,93.99299999999992,94.01125000000019,94.07637059999995,94.18568099999986,94.2431934015394,94.08909264999993,93.93499189846045,94.40538928936367,94.13119264999999,93.85699601063631,,0.7412161111642712,2025-02-04,2025-04-24,Buy,113.894737,USD,Sell,94.34699755915835,94.29293731884154
NVS,Novartis AG,Pharmaceuticals: major,Health technology,NYSE,,221257409446.33975,USD,111.56,USD,112.56,USD,1.480000000000004,USD,1.3266403728935137,0.8963786303334529,1975047274.13623,2174809,11082384,29985,2425965.9,2290684.4666666663,1717010.9555555556,0.9626630679262196,1.1334306303970598,1.383644400593953,111.58999999999999,18.994432431512095,0.7099645447724366,0.9116524869548888,0.23400243,0.5400093,0.5365824,1.7990923775094225,4.048133812230475,4.415748131255543,3.83912661662171,1.8825636352075958,0.9204316370555985,0.9315078269717753,1.1316489462320873,1.1122974557692,116.91,USD,116.91,USD,117.36,USD,120.92,USD,120.92,USD,111.59,USD,111.685,USD,111.685,USD,111.685,USD,111.685,USD,111.685,USD,112.06,USD,112.5,USD,116.91,USD,663086.593835246,USD,111.51439999999994,111.51087500000003,111.57200000000003,111.55392307692306,111.71044542088366,111.57259999999994,111.43475457911622,111.73792958428974,111.46804999999998,111.19817041571021,,0.9116524869548888,2025-01-31,2025-04-29,Neutral,114.948813,USD,Buy,111.5514895669612,111.31660784579338
